"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"Antidepressant"
"86640"	"Fluoxetine 20mg capsules (Brown & Burk UK Ltd)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"86697"	"Phenelzine 15mg capsules (Imported)"	"Phenelzine"	"15mg"	"Capsule"	"Oral"	"04030200"	"Phenelzine"
"86700"	"Lofepramine 70mg tablets (Zentiva Pharma UK Ltd)"	"Lofepramine"	"70mg"	"Tablet"	"Oral"	"04030100"	"Lofepramine"
"86790"	"Paroxetine 20mg/5ml oral suspension"	"Paroxetine"	"4mg/1ml"	"Oral suspension"	"Oral"	"04030300"	"Paroxetine"
"86799"	"Paroxetine 20mg tablets (Medihealth (Northern) Ltd)"	"Paroxetine"	"20mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"86890"	"Sertraline 50mg tablets (Niche Generics Ltd)"	"Sertraline"	"50mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"86894"	"Amitriptyline 25mg tablets (Bristol Laboratories Ltd)"	"Amitriptyline"	"25mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"87012"	"Venlafaxine 37.5mg tablets (Zentiva Pharma UK Ltd)"	"Venlafaxine"	"37.5mg"	"Tablet"	"Oral"	"04030400"	"Venlafaxine"
"87061"	"Duloxetine 60mg gastro-resistant capsules (HBS Healthcare Ltd)"	"Duloxetine"	"60mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"87073"	"Seroxat 20mg/10ml liquid (Lexon (UK) Ltd)"	"Paroxetine"	"2mg/1ml"	"Oral suspension"	"Oral"	"04030300"	"Paroxetine"
"87115"	"Sertraline 25mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Sertraline"	"25mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"87361"	"Dosulepin 150mg/5ml oral solution"	"Dosulepin"	"30mg/1ml"	"Oral solution"	"Oral"	"04030100"	"Dosulepin"
"87501"	"Fluoxetine 10mg capsules (Morningside Healthcare Ltd)"	"Fluoxetine"	"10mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"87503"	"Venlafaxine 75mg tablets (Phoenix Healthcare Distribution Ltd)"	"Venlafaxine"	"75mg"	"Tablet"	"Oral"	"04030400"	"Venlafaxine"
"87521"	"Sertraline 50mg tablets (Waymade Healthcare Plc)"	"Sertraline"	"50mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"87568"	"Mirtazapine 15mg orodispersible tablets (Almus Pharmaceuticals Ltd)"	"Mirtazapine"	"15mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"87645"	"Citalopram 40mg tablets (Noumed Life Sciences Ltd)"	"Citalopram"	"40mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"87663"	"Duloxetine 60mg gastro-resistant capsules (Amarox Ltd)"	"Duloxetine"	"60mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"87749"	"Citalopram 10mg tablets (Noumed Life Sciences Ltd)"	"Citalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"87872"	"Sertraline 200mg tablets"	"Sertraline"	"200mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"87875"	"Sertraline 150mg tablets"	"Sertraline"	"150mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"87904"	"Paroxetine 20mg tablets (Crescent Pharma Ltd)"	"Paroxetine"	"20mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"87944"	"Sertraline 50mg tablets (Zentiva Pharma UK Ltd)"	"Sertraline"	"50mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"88064"	"Trazodone 50mg capsule (Medreich Plc)"	"Trazodone"	NA	"Capsule"	"Oral"	"04030100"	"Trazodone"
"88065"	"Trazodone 100mg capsule (Medreich Plc)"	"Trazodone"	NA	"Capsule"	"Oral"	"04030100"	"Trazodone"
"88197"	"Duloxetine 30mg gastro-resistant capsules (Bristol Laboratories Ltd)"	"Duloxetine"	NA	"Capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
